time1,Instantaneous value of horizontal radiation,time2,Instantaneous value of inclined radiation,time3,Instantaneous value of scattered radiation,time4,Direct radiation instantaneous value,time5,WindSpeed,time6,WindDirection,time7,Temperature,time8,Pressure,time9,Humidity,time10,ComponentTemp,time11,P1
2024/1/2 1:10,0,2024/1/2 1:10,0,2024/1/2 1:10,0,2024/1/2 1:10,0,2024/1/2 1:10,0,2024/1/2 1:10,0,2024/1/2 1:10,0,2024/1/2 1:10,0,2024/1/2 1:10,0,2024/1/2 1:10,0,2024/1/2 1:10,0
2024/1/2 1:20,0,2024/1/2 1:20,0,2024/1/2 1:20,0,2024/1/2 1:20,0,2024/1/2 1:20,0,2024/1/2 1:20,0,2024/1/2 1:20,0,2024/1/2 1:20,0,2024/1/2 1:20,0,2024/1/2 1:20,0,2024/1/2 1:20,0
2024/1/2 1:30,0,2024/1/2 1:30,0,2024/1/2 1:30,0,2024/1/2 1:30,0,2024/1/2 1:30,0,2024/1/2 1:30,0,2024/1/2 1:30,0,2024/1/2 1:30,0,2024/1/2 1:30,0,2024/1/2 1:30,0,2024/1/2 1:30,0
2024/1/2 1:40,0,2024/1/2 1:40,0,2024/1/2 1:40,0,2024/1/2 1:40,0,2024/1/2 1:40,0,2024/1/2 1:40,0,2024/1/2 1:40,0,2024/1/2 1:40,0,2024/1/2 1:40,0,2024/1/2 1:40,0,2024/1/2 1:40,0
2024/1/2 1:50,0,2024/1/2 1:50,0,2024/1/2 1:50,0,2024/1/2 1:50,0,2024/1/2 1:50,0,2024/1/2 1:50,0,2024/1/2 1:50,0,2024/1/2 1:50,0,2024/1/2 1:50,0,2024/1/2 1:50,0,2024/1/2 1:50,0
2024/1/2 2:00,0,2024/1/2 2:00,0,2024/1/2 2:00,0,2024/1/2 2:00,0,2024/1/2 2:00,0,2024/1/2 2:00,0,2024/1/2 2:00,0,2024/1/2 2:00,0,2024/1/2 2:00,0,2024/1/2 2:00,0,2024/1/2 2:00,0
2024/1/2 2:10,0,2024/1/2 2:10,0,2024/1/2 2:10,0,2024/1/2 2:10,0,2024/1/2 2:10,0,2024/1/2 2:10,0,2024/1/2 2:10,0,2024/1/2 2:10,0,2024/1/2 2:10,0,2024/1/2 2:10,0,2024/1/2 2:10,0
2024/1/2 2:20,0,2024/1/2 2:20,0,2024/1/2 2:20,0,2024/1/2 2:20,0,2024/1/2 2:20,0,2024/1/2 2:20,0,2024/1/2 2:20,0,2024/1/2 2:20,0,2024/1/2 2:20,0,2024/1/2 2:20,0,2024/1/2 2:20,0
2024/1/2 2:30,0,2024/1/2 2:30,0,2024/1/2 2:30,0,2024/1/2 2:30,0,2024/1/2 2:30,0,2024/1/2 2:30,0,2024/1/2 2:30,0,2024/1/2 2:30,0,2024/1/2 2:30,0,2024/1/2 2:30,0,2024/1/2 2:30,0
2024/1/2 2:40,0,2024/1/2 2:40,0,2024/1/2 2:40,0,2024/1/2 2:40,0,2024/1/2 2:40,0,2024/1/2 2:40,0,2024/1/2 2:40,0,2024/1/2 2:40,0,2024/1/2 2:40,0,2024/1/2 2:40,0,2024/1/2 2:40,0
2024/1/2 2:50,0,2024/1/2 2:50,0,2024/1/2 2:50,0,2024/1/2 2:50,0,2024/1/2 2:50,0,2024/1/2 2:50,0,2024/1/2 2:50,0,2024/1/2 2:50,0,2024/1/2 2:50,0,2024/1/2 2:50,0,2024/1/2 2:50,0
2024/1/2 3:00,0,2024/1/2 3:00,0,2024/1/2 3:00,0,2024/1/2 3:00,0,2024/1/2 3:00,0,2024/1/2 3:00,0,2024/1/2 3:00,0,2024/1/2 3:00,0,2024/1/2 3:00,0,2024/1/2 3:00,0,2024/1/2 3:00,0
2024/1/2 3:10,0,2024/1/2 3:10,0,2024/1/2 3:10,0,2024/1/2 3:10,0,2024/1/2 3:10,0,2024/1/2 3:10,0,2024/1/2 3:10,0,2024/1/2 3:10,0,2024/1/2 3:10,0,2024/1/2 3:10,0,2024/1/2 3:10,0
2024/1/2 3:20,0,2024/1/2 3:20,0,2024/1/2 3:20,0,2024/1/2 3:20,0,2024/1/2 3:20,0,2024/1/2 3:20,0,2024/1/2 3:20,0,2024/1/2 3:20,0,2024/1/2 3:20,0,2024/1/2 3:20,0,2024/1/2 3:20,0
2024/1/2 3:30,0,2024/1/2 3:30,0,2024/1/2 3:30,0,2024/1/2 3:30,0,2024/1/2 3:30,0,2024/1/2 3:30,0,2024/1/2 3:30,0,2024/1/2 3:30,0,2024/1/2 3:30,0,2024/1/2 3:30,0,2024/1/2 3:30,0
2024/1/2 3:40,0,2024/1/2 3:40,0,2024/1/2 3:40,0,2024/1/2 3:40,0,2024/1/2 3:40,0,2024/1/2 3:40,0,2024/1/2 3:40,0,2024/1/2 3:40,0,2024/1/2 3:40,0,2024/1/2 3:40,0,2024/1/2 3:40,0
2024/1/2 3:50,0,2024/1/2 3:50,0,2024/1/2 3:50,0,2024/1/2 3:50,0,2024/1/2 3:50,0,2024/1/2 3:50,0,2024/1/2 3:50,0,2024/1/2 3:50,0,2024/1/2 3:50,0,2024/1/2 3:50,0,2024/1/2 3:50,0
2024/1/2 4:00,0,2024/1/2 4:00,0,2024/1/2 4:00,0,2024/1/2 4:00,0,2024/1/2 4:00,0,2024/1/2 4:00,0,2024/1/2 4:00,0,2024/1/2 4:00,0,2024/1/2 4:00,0,2024/1/2 4:00,0,2024/1/2 4:00,0
2024/1/2 4:10,0,2024/1/2 4:10,0,2024/1/2 4:10,0,2024/1/2 4:10,0,2024/1/2 4:10,0,2024/1/2 4:10,0,2024/1/2 4:10,0,2024/1/2 4:10,0,2024/1/2 4:10,0,2024/1/2 4:10,0,2024/1/2 4:10,0
2024/1/2 4:20,0,2024/1/2 4:20,0,2024/1/2 4:20,0,2024/1/2 4:20,0,2024/1/2 4:20,0,2024/1/2 4:20,0,2024/1/2 4:20,0,2024/1/2 4:20,0,2024/1/2 4:20,0,2024/1/2 4:20,0,2024/1/2 4:20,0
2024/1/2 4:30,0,2024/1/2 4:30,0,2024/1/2 4:30,0,2024/1/2 4:30,0,2024/1/2 4:30,0,2024/1/2 4:30,0,2024/1/2 4:30,0,2024/1/2 4:30,0,2024/1/2 4:30,0,2024/1/2 4:30,0,2024/1/2 4:30,0
